         15395641 function calls (15388763 primitive calls) in 44.600 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 mcst.py:38(__init__)
        1    0.000    0.000    0.010    0.010 npyio.py:1(<module>)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
        4    0.000    0.000    0.009    0.002 resnet.py:11(__init__)
      812    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
       62    0.000    0.000    0.009    0.000 sre_compile.py:516(_code)
     4469    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        1    0.000    0.000    0.009    0.009 message.py:5(<module>)
        2    0.000    0.000    0.009    0.005 __init__.py:6(<module>)
      134    0.002    0.000    0.009    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.009    0.009 _utils_internal.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:124(<module>)
        1    0.000    0.000    0.008    0.008 typing.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
        1    0.000    0.000    0.008    0.008 inspect.py:27(<module>)
        2    0.000    0.000    0.008    0.004 function_base.py:1(<module>)
       19    0.000    0.000    0.007    0.000 module.py:1067(eval)
   703/19    0.002    0.000    0.007    0.000 module.py:1047(train)
        1    0.000    0.000    0.007    0.007 __init__.py:9(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:88(<module>)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
      836    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:406(cached)
   325/62    0.002    0.000    0.007    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.007    0.007 quantize.py:1(<module>)
       90    0.000    0.000    0.007    0.000 typing.py:907(__new__)
        1    0.000    0.000    0.007    0.007 linalg.py:10(<module>)
    24/19    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
      760    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    24/19    0.002    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.007    0.007 _datasource.py:36(<module>)
        1    0.000    0.000    0.007    0.007 _ops.py:1(<module>)
      642    0.007    0.000    0.007    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      618    0.001    0.000    0.006    0.000 _inspect.py:98(getargspec)
      406    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      430    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
      461    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:163(__enter__)
        2    0.000    0.000    0.006    0.003 distributed.py:1(<module>)
     9758    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
      127    0.000    0.000    0.006    0.000 typing.py:103(__new__)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
       10    0.000    0.000    0.006    0.001 conv.py:323(__init__)
        1    0.000    0.000    0.006    0.006 _add_newdocs.py:10(<module>)
      404    0.003    0.000    0.006    0.000 functools.py:43(update_wrapper)
      152    0.000    0.000    0.006    0.000 activation.py:93(forward)
       57    0.000    0.000    0.006    0.000 linear.py:86(forward)
        1    0.000    0.000    0.006    0.006 numerictypes.py:81(<module>)
       23    0.000    0.000    0.005    0.000 overrides.py:200(decorator)
     1292    0.004    0.000    0.005    0.000 module.py:587(__setattr__)
      942    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa3ede0}
      152    0.000    0.000    0.005    0.000 functional.py:904(relu)
      607    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        8    0.000    0.000    0.005    0.001 resnet.py:4(conv3x3)
       57    0.000    0.000    0.005    0.000 functional.py:1355(linear)
     5698    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
      655    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      152    0.005    0.000    0.005    0.000 {built-in method relu_}
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _dtype_ctypes.py:24(<module>)
       48    0.001    0.000    0.005    0.000 typing.py:989(__getitem__)
       10    0.000    0.000    0.005    0.000 conv.py:18(__init__)
        1    0.000    0.000    0.005    0.005 batchnorm.py:1(<module>)
        6    0.000    0.000    0.005    0.001 enum.py:532(_convert)
      273    0.001    0.000    0.005    0.000 function_base.py:441(add_newdoc)
      406    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.000    0.000    0.005    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 signal.py:1(<module>)
       12    0.002    0.000    0.005    0.000 enum.py:88(__new__)
        2    0.000    0.000    0.005    0.002 _functions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 financial.py:12(<module>)
      321    0.001    0.000    0.005    0.000 re.py:175(sub)
     4566    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
       57    0.004    0.000    0.004    0.000 {built-in method addmm}
        3    0.000    0.000    0.004    0.001 rnn.py:1(<module>)
        1    0.000    0.000    0.004    0.004 reductions.py:1(<module>)
     1221    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
      614    0.004    0.000    0.004    0.000 _inspect.py:67(getargs)
     1221    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:94(acquire)
        1    0.000    0.000    0.004    0.004 utils.py:5(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:28(<module>)
       10    0.000    0.000    0.004    0.000 batchnorm.py:19(__init__)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
      430    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
        6    0.000    0.000    0.004    0.001 enum.py:215(__call__)
        6    0.000    0.000    0.004    0.001 enum.py:314(_create_)
      126    0.000    0.000    0.004    0.000 sre_compile.py:221(_compile_charset)
      893    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      406    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 reduction.py:10(<module>)
        1    0.000    0.000    0.003    0.003 default_mappings.py:2(<module>)
       10    0.000    0.000    0.003    0.000 conv.py:48(reset_parameters)
       13    0.000    0.000    0.003    0.000 init.py:287(kaiming_uniform_)
      321    0.003    0.000    0.003    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.003    0.003 QConfig.py:1(<module>)
      126    0.002    0.000    0.003    0.000 sre_compile.py:248(_optimize_charset)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 random.py:37(<module>)
     1221    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:119(release)
        1    0.000    0.000    0.003    0.003 ntpath.py:6(<module>)
      442    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:321(__exit__)
        1    0.000    0.000    0.003    0.003 pocketfft.py:29(<module>)
     9757    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 type_check.py:3(<module>)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        5    0.000    0.000    0.003    0.001 platform.py:1111(system)
        5    0.000    0.000    0.003    0.001 platform.py:973(uname)
     1460    0.001    0.000    0.003    0.000 module.py:953(children)
        1    0.000    0.000    0.003    0.003 dataloader.py:6(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:830(_syscmd_uname)
        1    0.000    0.000    0.003    0.003 nanfunctions.py:22(<module>)
     2176    0.003    0.000    0.003    0.000 module.py:571(__getattr__)
       18    0.003    0.000    0.003    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
       19    0.002    0.000    0.003    0.000 mcst.py:107(get_x)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
     4222    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 rpc.py:3(<module>)
      430    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
       57    0.000    0.000    0.002    0.000 activation.py:208(forward)
        1    0.000    0.000    0.002    0.002 __init__.py:8(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
       57    0.000    0.000    0.002    0.000 functional.py:949(hardtanh)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
      461    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
       57    0.002    0.000    0.002    0.000 {built-in method torch._C._nn.hardtanh}
        1    0.000    0.000    0.002    0.002 ipaddress.py:9(<module>)
     1945    0.001    0.000    0.002    0.000 sre_parse.py:247(get)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
     2506    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 twodim_base.py:3(<module>)
       48    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
       37    0.001    0.000    0.002    0.000 module.py:70(__init__)
       48    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        1    0.000    0.000    0.002    0.002 cli.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spawn.py:1(<module>)
     1460    0.002    0.000    0.002    0.000 module.py:962(named_children)
        1    0.000    0.000    0.002    0.002 _policybase.py:4(<module>)
        1    0.000    0.000    0.002    0.002 bernoulli.py:1(<module>)
       62    0.000    0.000    0.002    0.000 sre_compile.py:412(_compile_info)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
        1    0.000    0.000    0.002    0.002 os.py:1023(popen)
      451    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.002    0.002 constraint_registry.py:66(<module>)
    59/16    0.001    0.000    0.002    0.000 abc.py:194(__subclasscheck__)
      812    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
     2388    0.002    0.000    0.002    0.000 sre_parse.py:226(__next)
        1    0.000    0.000    0.002    0.002 tensor.py:1(<module>)
